"Armenia","541","1536","0.3522","2.7331972651065692","3.186391215695493","-0.45319395058892376","-2192","-2555","-0.3159","-0.7034423665860916","-0.42543826380288063","-0.27800410278321064"
"Azerbaidjan","396","1480","0.2676","2.597695185925512","3.1702617153949575","-0.5725665294694451","-2337","-2611","-0.4005","-0.8389444457671487","-0.44156776410341614","-0.39737668166373197"
"Cyprus","2023","3430","0.5898","3.3059958827708047","3.5352941200427703","-0.22929823727196583","-710","-661","-0.07830000000000004","-0.13064374892185615","-0.0765353594556033","-0.05410838946625274"
"Turkey","870","1291","0.6739","2.9395192526186187","3.1109262422664203","-0.17140698964780182","-1863","-2800","0.005800000000000027","-0.49712037907404216","-0.5009032372319533","0.0037828581579112674"
"France","2733","4091","0.6681","3.436639631692661","3.6118294794983736","-0.1751898478057131","0","0","0","0","0","0"
"Spain","2048","3459","0.5921","3.3113299523037933","3.5389505620143615","-0.22762060971056827","-685","-632","-0.07600000000000007","-0.1253096793888675","-0.0728789174840121","-0.05243076190485518"
"Portugal","1342","2440","0.55","3.1277525158329733","3.387389826338729","-0.2596373105057561","-1391","-1651","-0.11809999999999998","-0.30888711585968753","-0.22443965315964443","-0.08444746270004302"
"Andorra","2351","3854","0.61","3.3712526291249394","3.5859117103194342","-0.21465908119449476","-382","-237","-0.05810000000000004","-0.06538700256772145","-0.025917769178939398","-0.039469233388781666"
"San Marino","2629","3810","0.69","3.419790586106363","3.5809249756756194","-0.16113438956925655","-104","-281","0.02189999999999992","-0.01684904558629796","-0.030904503822754226","0.014055458236456542"
"Italy","2017","3307","0.6099","3.3047058982127653","3.519434194913703","-0.2147282967009374","-716","-784","-0.05820000000000003","-0.13193373347989557","-0.09239528458467072","-0.039538448895224315"
"Croatia","1511","3224","0.4687","3.1792644643390253","3.508395033133053","-0.32913056879402763","-1222","-867","-0.19940000000000002","-0.2573751673536355","-0.10343444636532073","-0.15394072098831454"
"Slovenia","1653","2900","0.57","3.2182728535714475","3.462397997898956","-0.24412514432750865","-1080","-1191","-0.09810000000000008","-0.2183667781212133","-0.14943148159941755","-0.06893529652179556"
"Austria","3778","5223","0.7233","3.577261953585815","3.7179200258369938","-0.14065807225117888","1045","1132","0.05520000000000003","0.14062232189315393","0.10609054633862014","0.03453177555453421"
"Switzerland","5811","5688","1.0216","3.764250875438773","3.75495958772171","0.009291287717063374","3078","1597","0.35350000000000004","0.3276112437461123","0.14313010822333627","0.18448113552277645"
"Luxembourg","4086","4923","0.83","3.611298362296429","3.6922298357727557","-0.08093147347632687","1353","832","0.16189999999999993","0.17465873060376813","0.08040035627438202","0.09425837432938622"
"Belgium","2463","3700","0.6657","3.3914644118391033","3.568201724066995","-0.1767373122278918","-270","-391","-0.0024000000000000687","-0.04517521985355755","-0.043627755431378645","-0.001547464422178707"
"Germany","3231","4426","0.73","3.509336958017644","3.6460114095912393","-0.13667445157359512","498","335","0.061899999999999955","0.07269732632498327","0.03418193009286563","0.03851539623211797"
"Netherlands","3771","4897","0.7701","3.5764565324056203","3.689930104018218","-0.11347357161259791","1038","806","0.10199999999999998","0.1398169007129595","0.07810062451984434","0.06171627619311518"
"Poland","1572","3434","0.4578","3.196452541703389","3.5358002908248976","-0.3393477491215086","-1161","-657","-0.21030000000000004","-0.24018708998927174","-0.07602918867347608","-0.16415790131579552"
"Czech Republic","1679","3167","0.5302","3.225050696138049","3.500648063371912","-0.27559736723386313","-1054","-924","-0.13790000000000002","-0.2115889355546119","-0.11118141612646149","-0.10040751942815004"
"Slovakia","1182","2312","0.5112","3.0726174765452368","3.3639878297484915","-0.2913703532032549","-1551","-1779","-0.15690000000000004","-0.3640221551474241","-0.2478416497498821","-0.1161805053975418"
"Greece","1098","2072","0.5299","3.040602340114073","3.3163897510731952","-0.2757874109591223","-1635","-2019","-0.1382","-0.3960372915785877","-0.2954397284251784","-0.1005975631534092"
"Bulgaria","1090","2505","0.4351","3.037426497940624","3.3988077302032647","-0.3613812322626409","-1643","-1586","-0.23300000000000004","-0.39921313375203704","-0.21302174929510898","-0.18619138445692782"
"Romania","1161","2703","0.4295","3.064832219738574","3.4318460456987254","-0.36701382596015153","-1572","-1388","-0.23860000000000003","-0.37180741195408684","-0.1799834337996482","-0.19182397815443844"
"Hungary","1184","2628","0.4505","3.073351702386901","3.419625360887743","-0.34627365850084224","-1549","-1463","-0.21760000000000002","-0.36328792930576004","-0.19220411861063047","-0.17108381069512915"
"Bosnia","861","2364","0.3642","2.935003151453655","3.3736474722092176","-0.438644320755563","-1872","-1727","-0.3039","-0.5016364802390059","-0.23818200728915606","-0.2634544729498499"
"Montenegro","1012","2663","0.38","3.0051805125037805","3.425371166438941","-0.4201906539351609","-1721","-1428","-0.2881","-0.43145911918888036","-0.1864583130594326","-0.24500080612944783"
"Kosovo","552","1446","0.3817","2.741939077729199","3.160168292958512","-0.41822921522931317","-2181","-2645","-0.28640000000000004","-0.6947005539634619","-0.4516611865398614","-0.24303936742360008"
"Serbia","1057","2753","0.3839","3.024074987307426","3.4398062113933303","-0.415731224085904","-1676","-1338","-0.2842","-0.41256464438523466","-0.17202326810504331","-0.24054137628019093"
"North Macedonia","738","2336","0.3159","2.8680563618230415","3.3684728384403617","-0.5004164766173202","-1995","-1755","-0.3522","-0.5685832698696194","-0.2433566410580119","-0.32522662881160713"
"Albania","692","1586","0.4363","2.840106094456758","3.200303182981585","-0.36019708852482724","-2041","-2505","-0.2318","-0.5965335372359029","-0.41152629651678874","-0.18500724071911415"
"Malta","1448","2691","0.5381","3.1607685618611283","3.4299136977637543","-0.2691451359026264","-1285","-1400","-0.13","-0.27587106983153253","-0.1819157817346193","-0.09395528809691331"
"Kazakhstan","578","2102","0.275","2.761927838420529","3.3226327116922234","-0.5607048732716944","-2155","-1989","-0.3931","-0.6747117932721318","-0.2891967678061502","-0.38551502546598126"
